MST|RFID
13731|1447613
13732|9501591
13733|9501376
13735|9502066
13736|15823740
13737|9500905
13738|9534537
13742|9543241
13746|9530823
13747|9503468
13750|10356953
13755|1525887
13755|1429778
13756|1512486
13757|1588930
13758|1438331
13759|10330491
13762|1589506
13764|1501634
13768|1478022
13769|1496842
13772|1489773
13775|1427423
13778|1489765
13780|1463155
13783|1503549
13784|1431798
13786|1437559
13787|1822423
13788|1812325
13792|9542396
13793|1468117
13794|3848991
13795|1456969
13796|1474334
13797|1475069
13799|1818613
13800|1495537
13801|1483729
13802|1448393
13803|1459208
13804|1488402
13805|1425846
13806|1482188
13811|1437698
13813|1765249
13815|1789501
13816|1506064
13818|1790228
13820|6651645
13822|1468366
13823|10401668
13826|15388644
13827|9560035
13829|1762764
13830|1486325
13831|15775083
13832|6652579
13833|1491873
13835|1481701
13836|10338477
13838|15418801
13839|1493155
13841|10404551
13842|9503543
13843|1507016
13844|7570144
13845|10332572
13847|1441579
13848|1450568
13849|1501635
13850|8604548
13851|9520324
13855|15816577
13856|9502912
13861|9498661
13862|1488575
13863|9559520
13864|12327891
13868|1458632
13869|1500157
13870|1460143
13871|15788913
13872|1434510
13873|1451988
13875|1428768
13876|10399590
13879|1504950
13883|1513888
13884|1545488
13886|1428333
13887|1578402
13891|1511864
13896|1469602
13897|1437072
13898|1502728
13902|1491881
13903|1778803
13904|1761771
13905|1779459
13906|1785954
13907|1785319
13913|1821719
13915|1843461
13916|1482927
13917|1503161
13918|1453472
13919|1426218
13920|1424823
13921|1496147
13923|1473599
13926|6531598
13927|1762481
13928|1820771
13929|1763053
13930|1576852
13934|1817144
13937|6582364
13938|6522563
13939|6564257
13941|6545944
13943|9503686
13946|1493052
13947|1435852
13948|1468099
13949|1473628
13950|1493847
13951|1439642
13954|1764069
13959|1460187
13960|1786238
13964|10344435
13965|10324268
13966|10336136
13967|10381166
13968|10400709
13969|10369568
13973|10331307
13974|10353189
13976|10395990
13977|1429692
13978|10353265
13979|10341361
13980|1587576
13981|9559550
13982|1432302
13983|1462177
13984|9500681
13985|1490440
13986|1481452
13987|9494801
13988|15447387
13992|1843057
13993|1761757
13996|9527046
13997|15434165
13998|1471908
13999|9502279
14000|9527996
14002|1491223
14008|9549182
14010|1845094
14011|1451066
14012|10386985
14013|8549810
14014|10390339
14015|10395682
14017|10331600
14019|9502937
14021|9502243
14023|10365132
14024|10341001
14025|10362214
14026|10352148
14027|10330256
14028|10324234
14029|9545327
14030|9529341
14031|10367745
14032|10402339
14033|1450558
14035|10375971
14036|10397168
14037|10353692
14038|10388071
14039|9527953
14040|9527201
14041|9527784
14042|9543267
14046|9513681
14047|4266539
14048|4217814
14050|15781435
14052|1588667
14055|1506035
14056|1484230
14057|1560091
14060|1512752
14061|1525514
14062|1543657
14063|1499609
14064|1576481
14066|1487919
14067|1502625
14068|1498964
14069|1431914
14070|1429281
14071|1431247
14072|1430722
14074|1450354
14075|1490439
14076|1493794
14077|1493686
14078|1489909
14081|1460137
14082|1504014
14085|1444307
14086|1426176
14087|1454223
14088|1428276
14089|1479498
14090|1505296
14091|1495689
14093|1475599
14094|1426197
14095|1454013
14096|1477106
14097|1454933
14099|1505664
14102|9556417
14103|10372648
14104|1491927
14105|9494763
14106|10328756
14107|9530937
14108|10324900
14109|1434545
14110|10336181
14114|1482191
14115|15815938
14116|1434648
14118|9554185
14119|1457889
14120|1447080
14121|1442099
14122|1456935
14124|9504252
14125|9504255
14126|9504240
14127|9504242
14129|9504243
14132|9519584
14134|9555859
14138|9518086
14140|1496862
14141|1454727
14142|1426968
14143|1449116
14145|1446391
14146|1480245
14147|1466110
14148|1844070
14150|9529304
14152|7600853
14154|9500212
14155|1451272
14156|1457935
14158|15812473
1416|12311063
14160|9544444
14162|9515951
14163|9514431
14164|9504200
14165|9515183
14166|1454178
14167|1429319
14169|1587762
14170|7486948
14172|1478055
14176|1823832
14177|1465843
14178|1494416
14179|9547936
14180|8998683
14181|1476540
14182|1498592
14183|1485842
14184|1467365
14186|1588493
14187|1440896
14189|1490445
14190|1474913
14191|8527796
14193|6645702
14194|6391969
14195|6379964
14197|6401610
14198|12329649
14199|1441608
142|3932788
14200|1475850
14204|1454196
14207|1456398
14208|1496114
14209|1576851
14210|1589349
14211|1784928
14212|9504250
14213|9546606
14214|9543758
14215|9527024
14217|15768290
14218|1505275
14219|1432788
14221|1467584
14225|1761870
14226|1430702
14227|1793161
14228|1819333
14230|1451807
14231|1436339
14232|1504857
14233|1456228
14234|1764845
14235|9556418
14236|12356378
14237|9545132
14238|1790964
14239|1506718
14240|1485640
14241|1452015
14242|1504035
14246|9544645
14247|9556960
14248|9515930
14249|7592562
14250|1510805
14251|1450565
14252|9536168
14253|1784929
14254|1475634
14256|7591947
14257|1432958
14258|9517334
14261|1440271
14262|6666653
14269|1430824
14270|1429244
14271|1456399
14272|1812732
14274|8528369
14275|8548569
14276|9543274
14278|9543962
14279|9544652
14280|9545123
14281|9545334
14282|7585947
14283|7580680
14284|7569495
14285|7574943
14286|9528576
14288|9528673
14289|9529344
14291|8551478
14293|9530185
14294|9529432
14295|9542359
14296|9515046
14297|1822098
14298|7572226
14300|8604073
14301|1787668
14302|7605318
14304|1459969
14305|1429243
14306|1474168
14308|1558937
14309|1492410
14311|1489779
14312|1475649
14314|10323786
14315|8546273
14316|8552289
14317|8586256
14318|8579880
14319|9543063
14320|7571539
14321|7572879
14322|7623398
14324|7579282
14326|1493013
14327|15765297
14328|15824979
14329|7606714
14330|10323472
14331|7606053
14332|7611677
14334|8535768
14335|8522463
14336|15811783
14337|8524842
14339|15788197
1434|2992154
14340|7612386
14341|7577741
14343|15778499
14344|15772304
14345|7568824
14346|15768352
14347|7625144
14348|15775041
14349|15762169
14350|15762763
14352|1425487
14353|1481469
14354|15417742
14355|15462469
14357|15432215
14358|15398930
14359|7594035
14360|15464790
14361|15783623
14363|15769612
14364|1475603
14365|1460164
14368|1815686
14369|1781467
14370|1790557
14371|1825215
14372|1791293
14373|1484426
14374|1817157
14375|7585109
14376|7597148
14380|7593388
14381|1493685
14382|1479529
14384|1498948
14386|1844769
14387|1844567
14388|1762330
14389|1818614
14390|1783222
14394|1504092
14395|1478559
14396|1453992
14397|15334003
14398|1466087
14399|9543100
14400|1497904
14401|1425845
14402|1427898
14404|1447583
14406|1763371
14407|1456418
14408|1489243
14411|1480216
14412|1487026
14413|1476557
14414|7582887
14417|9543749
14422|1444972
14423|1467348
14424|1442908
14425|1466081
14428|1778508
14429|1461691
14431|10364398
14433|15767080
14435|1765015
14437|1456388
14438|1452002
14440|10369284
14443|1820772
14444|15389400
14446|6676460
14447|15458908
14449|10371822
14450|10356564
14451|10362219
14452|9557527
14453|6358907
14454|10403043
14455|1454228
14456|10396858
14458|15432215
14459|15451405
14462|15398905
14468|1424829
14471|7612381
14472|1824907
14473|1818611
14477|7608890
14478|1429806
14479|8542103
14482|8529182
14484|6383512
14485|1845496
14487|1453487
14488|1504892
14489|1489764
14490|1455669
14491|1476370
14492|1441430
14494|1428816
14496|1453979
14498|1788059
14499|1474142
14500|1482391
14501|1451773
14502|8558792
14503|1429335
14504|1454715
14505|1506722
14506|1502238
14507|1483530
14508|1458660
14509|1451992
14510|15824942
14511|1483697
14513|10333800
14514|10354700
14515|15813108
14516|15823151
14517|10354390
14520|10394149
14522|8599557
14524|8557481
14525|8542970
14528|9515832
14529|9516584
14530|9516681
14531|9515921
14532|9517352
14533|9509821
14534|9508355
14535|9508584
14537|1783531
14538|1454713
14539|9510557
14540|9509318
14541|7576369
14542|8550796
14543|9526987
14544|8584858
14545|9527244
14547|8534508
14550|9527747
14554|7582151
14555|7570850
14557|9503496
14558|1474331
14560|1447754
14561|1480952
14562|8550539
14563|9558050
14564|9557474
14565|7613014
14566|7611677
14567|9499379
14568|3823487
